NROPRESTADOR,PRESTADOR,PLAN,TIPO DE PRESTADOR,ESPECIALIDAD,ZONA,DIRECCION,TELEFONO,BARRIO_LOCALIDAD
-,CLINICA PRIVADA RANELAGH,UNIVERSAL,Profesionales,NEUMONOLOGIA,BUENOS AIRES,CAMINO GRAL. BELGRANO 4786,4223 0990,RANELAGH
-,CLINICA PRIVADA RANELAGH,UNIVERSAL,Profesionales,NEONATOLOGIA,BUENOS AIRES,CAMINO GRAL. BELGRANO 4786,4223 0990,RANELAGH
-,CLINICA PRIVADA RANELAGH,UNIVERSAL,Diagnostico y tratamiento,PUNCION BAJO ECOGRAFIA,BUENOS AIRES,CAMINO GRAL. BELGRANO 4786,4223 0990,RANELAGH
-,CLINICA PRIVADA RANELAGH,UNIVERSAL,Diagnostico y tratamiento,PUNCION BAJO TAC,BUENOS AIRES,CAMINO GRAL. BELGRANO 4786,4223 0990,RANELAGH
-,CLINICA PRIVADA RANELAGH,UNIVERSAL,Profesionales,NEUROLOGIA,BUENOS AIRES,CAMINO GRAL. BELGRANO 4786,4223 0990,RANELAGH
-,CLINICA PRIVADA RANELAGH,UNIVERSAL,Profesionales,NUTRICION Y DIABETES,BUENOS AIRES,CAMINO GRAL. BELGRANO 4786,4223 0990,RANELAGH
-,CLINICA PRIVADA RANELAGH,UNIVERSAL,Profesionales,OBSTETRICIA,BUENOS AIRES,CAMINO GRAL. BELGRANO 4786,4223 0990,RANELAGH
-,CLINICA PRIVADA RANELAGH,UNIVERSAL,Profesionales,OFTALMOLOGIA,BUENOS AIRES,CAMINO GRAL. BELGRANO 4786,4223 0990,RANELAGH
-,CLINICA PRIVADA RANELAGH,UNIVERSAL,Profesionales,OTORRINOLARINGOLOGIA,BUENOS AIRES,CAMINO GRAL. BELGRANO 4786,4223 0990,RANELAGH
-,CLINICA PRIVADA RANELAGH,UNIVERSAL,Profesionales,PEDIATRIA,BUENOS AIRES,CAMINO GRAL. BELGRANO 4786,4223 0990,RANELAGH
-,BALLESTEROS JORGE DANIEL,UNIVERSAL,Diagnostico y tratamiento,KINESIOLOGIA,BUENOS AIRES,COMPOSTELA 925,02320 431314,JOSE C. PAZ
-,CLINICA PRIVADA RANELAGH,UNIVERSAL,Diagnostico y tratamiento,RADIOLOGIA,BUENOS AIRES,CAMINO GRAL. BELGRANO 4786,4223 0990,RANELAGH
